name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Love The Way You Lie,0.749,0.925,10,-5.034,0.227,0.241,0,0.52,0.641,86.989
Hymn For The Weekend - Seeb Remi,0.565,0.849,0,-3.516,0.0517,0.00868,4.68E-06,0.12,0.427,102.034
Uptown Funk,0.856,0.609,0,-7.223,0.0824,0.00801,8.15E-05,0.0344,0.928,114.988
We Can't Stop,0.613,0.622,1,-5.794,0.0334,0.00882,0,0.37,0.484,80.003
This Is What You Came For,0.63,0.928,9,-2.787,0.0331,0.199,0.124,0.148,0.465,123.963
One Last Time,0.628,0.593,8,-5.036,0.0323,0.093,1.65E-06,0.096,0.104,125.026
Chandelier,0.399,0.787,1,-2.88,0.0499,0.0197,6.07E-05,0.0685,0.572,117.089
Never Forget You,0.583,0.732,11,-5.728,0.0457,0.00312,9.86E-06,0.269,0.276,145.992
Cool for the Summer,0.584,0.614,5,-5.587,0.0363,0.00506,9.70E-05,0.0802,0.28,114.075
Lush Life,0.694,0.712,7,-3.923,0.046,0.133,0,0.211,0.799,98.022
Thinking Out Loud,0.781,0.445,2,-6.061,0.0295,0.474,0,0.184,0.591,78.998
You Know You Like It,0.426,0.722,5,-5.369,0.196,0.0113,1.27E-06,0.262,0.25,196.133
Unforgettable,0.726,0.769,6,-5.043,0.123,0.0293,0.0101,0.104,0.733,97.985
Elastic Heart,0.421,0.791,9,-4.998,0.0496,0.0117,1.48E-05,0.146,0.499,130.075
I Really Like You,0.622,0.808,5,-4.701,0.0418,0.00543,5.63E-05,0.215,0.599,122.121
Closer,0.748,0.524,8,-5.599,0.0338,0.414,0,0.111,0.661,95.01
Love Yourself,0.607,0.376,4,-9.954,0.453,0.856,0,0.285,0.545,102.541
Cake By The Ocean,0.771,0.76,4,-5.459,0.0514,0.147,0,0.053,0.881,119
Budapest,0.717,0.455,5,-8.303,0.0276,0.0846,0,0.11,0.389,127.81
Sorry,0.654,0.76,0,-3.669,0.045,0.0797,0,0.299,0.41,99.945
Bang Bang,0.706,0.786,0,-3.417,0.0909,0.26,0,0.38,0.749,150.035
Starboy,0.678,0.588,7,-7.015,0.276,0.141,6.35E-06,0.137,0.486,186.005
CAN'T STOP THE FEELING! (Origina,0.667,0.83,0,-5.715,0.0749,0.0123,0,0.191,0.701,113.03
Treat You Better,0.683,0.797,10,-4.085,0.246,0.107,0,0.114,0.758,82.916
We Are Young (feat. Janelle Moná,0.378,0.638,10,-5.576,0.075,0.02,7.66E-05,0.0849,0.735,184.086
Don't Mind,0.464,0.771,8,-4.503,0.336,0.0235,0,0.063,0.69,158.777
All Time Low,0.617,0.567,0,-4.188,0.0828,0.0584,0,0.0933,0.505,90.246
Treat You Better,0.444,0.819,10,-4.078,0.341,0.106,0,0.107,0.747,82.695
Send My Love (To Your New Lover),0.688,0.532,6,-8.361,0.0875,0.0356,3.08E-06,0.172,0.565,164.068
Stressed Out,0.734,0.637,4,-5.677,0.141,0.0462,2.29E-05,0.0602,0.648,169.977
Shout Out to My Ex,0.774,0.739,0,-4.022,0.0952,0.0316,5.95E-06,0.119,0.823,126.002
Paradise,0.449,0.585,5,-6.762,0.0268,0.0522,8.49E-05,0.0833,0.203,139.627
Love On The Brain,0.509,0.637,4,-4.83,0.0471,0.0717,1.08E-05,0.0789,0.378,172.006
Rude,0.774,0.756,1,-4.995,0.0389,0.0423,0,0.305,0.931,144.032
Human,0.643,0.698,11,-4.094,0.276,0.414,0,0.169,0.556,75.073
Am I Wrong,0.725,0.68,8,-5.465,0.0306,0.162,2.13E-06,0.158,0.76,119.939
Titanium (feat. Sia),0.602,0.796,0,-3.657,0.103,0.0682,0.12,0.15,0.265,126.06
24K Magic,0.818,0.803,1,-4.282,0.0797,0.034,0,0.153,0.632,106.97
Hotline Bling,0.896,0.623,2,-8.008,0.0571,0.00257,0.000258,0.039,0.585,134.962
How Deep Is Your Love,0.738,0.868,11,-4.373,0.0731,0.0389,0.00171,0.388,0.336,122.003
Ghost,0.682,0.836,9,-3.777,0.0425,0.0464,3.13E-06,0.0797,0.485,104.987
Rather Be (feat. Jess Glynne),0.799,0.586,11,-6.735,0.0377,0.162,2.03E-06,0.193,0.549,120.97
Locked Out Of Heaven,0.726,0.698,5,-4.165,0.0431,0.049,0,0.309,0.867,143.994
I'm Not The Only One,0.677,0.485,5,-5.795,0.0361,0.529,2.04E-05,0.0766,0.493,82.001
Where Are Ü Now (with Justin Bie,0.432,0.781,4,-4.038,0.0567,0.041,4.21E-06,0.0789,0.197,139.432
Shots,0.552,0.76,11,-6.861,0.0367,0.00713,0.0113,0.313,0.338,104.957
She's Kinda Hot,0.664,0.908,4,-4.806,0.0317,0.00182,0,0.109,0.889,118.031
Can't Feel My Face,0.705,0.769,9,-5.526,0.0426,0.112,0,0.105,0.59,107.939
Sugar (feat. Francesco Yates),0.636,0.815,5,-5.098,0.0581,0.0185,0,0.163,0.636,123.063